Key	Value
6b37	15
bb15	15
35e5	17
35e6	11
6b38	23
bb16	11
35e7	16
bb13	11
bb14	16
35e8	13
35e9	16
bb11	15
bb12	14
6b31	20
bb20	15
6b32	14
bb21	12
6b30	12
6b35	18
6b36	17
35e0	14
35e1	17
6b33	15
35e2	16
6b34	17
35ca	15
bb0f	14
35cb	21
6b1e	11
35cc	17
bb0d	8
6b1f	14
35cd	16
bb0e	20
35ce	21
bb0b	13
bb0c	12
35cf	21
bb0a	9
6b3a	15
6b3b	19
6b3e	9
6b3f	19
bb08	15
35ea	14
6b3c	9
35eb	15
6b3d	14
bb09	10
bb06	20
35f4	15
35f5	13
bb07	23
6b48	17
bb04	18
35f6	20
bb05	9
6b49	15
35f7	16
35f8	19
bb02	15
35f9	15
bb03	13
bb00	18
bb01	18
6b42	17
bb10	15
6b43	6
6b40	10
6b41	12
6b46	11
35f0	16
35f1	17
6b47	14
6b44	10
35f2	12
6b45	19
35f3	17
35db	21
35dc	10
35dd	14
6b2f	16
35de	21
35df	14
6b4b	14
bb2a	15
6b4c	15
6b4a	14
6b4f	19
35fa	11
6b4d	15
35fb	16
35fc	21
6b4e	17
bb39	15
6b59	11
bb37	17
bb38	7
bb35	18
bb36	16
bb33	11
bb34	12
6b53	17
bb42	17
6b54	17
bb43	21
6b51	18
bb40	23
bb41	22
6b52	18
6b57	10
6b58	17
6b55	19
6b56	20
35ec	9
35ed	20
35ee	23
bb2f	20
35ef	8
bb2d	18
bb2e	16
6b50	11
bb2b	11
bb2c	15
6b5c	19
6b5d	12
6b5a	16
6b5b	15
6b5e	16
6b5f	17
bb28	11
bb29	14
bb26	13
bb27	20
bb24	10
bb25	16
bb22	23
bb23	8
6b64	12
bb31	12
bb32	13
6b65	6
6b62	14
6b63	13
bb30	13
6b68	14
6b69	13
6b66	23
6b67	18
35fd	18
35fe	17
bb1e	22
35ff	15
bb1f	6
6b60	20
bb1c	13
6b61	19
bb1d	12
bb1a	17
bb1b	9
bb4b	20
6b6d	16
6b6e	16
bb4c	20
6b6b	15
6b6c	15
bb4a	16
6b6f	8
bb59	13
bb57	16
bb58	15
6b6a	17
bb55	15
bb56	20
6b75	19
bb64	11
6b76	17
bb65	14
6b73	15
bb62	8
bb63	23
6b74	10
bb60	20
6b79	9
bb61	26
6b77	21
6b78	18
bb4f	13
6b71	17
6b72	9
bb4d	20
6b70	15
bb4e	8
6b7e	12
bb3a	13
bb3b	10
6b7f	12
6b7c	17
6b7d	10
bb48	16
bb49	27
6b7a	13
bb46	15
6b7b	12
bb47	13
bb44	9
bb45	15
6b86	17
bb53	12
6b87	12
bb54	16
6b84	14
bb51	18
bb52	14
6b85	20
bb50	16
6b88	13
6b89	7
6b82	12
bb3e	15
6b83	13
bb3f	11
6b80	16
bb3c	8
bb3d	20
6b81	10
6b8f	15
bb6d	12
bb6e	16
bb6b	15
6b8d	12
bb6c	18
6b8e	10
bb6a	12
6b8b	9
bb79	15
6b8c	22
bb77	12
bb78	12
6b8a	19
6b97	15
bb86	12
bb87	16
6b98	21
6b95	17
bb84	14
6b96	14
bb85	15
bb82	16
bb83	15
bb80	17
6b99	18
bb81	13
6b90	12
6b93	19
6b94	9
6b91	9
bb6f	24
6b92	21
bb5c	16
bb5d	14
bb5a	20
6b9e	8
6b9f	23
bb5b	22
bb68	13
6b9c	12
bb69	20
6b9d	14
bb66	15
6b9a	12
6b9b	9
bb67	7
bb75	18
bb76	14
bb73	7
bb74	13
bb71	13
bb72	18
bb70	17
bb5e	18
bb5f	14
bb8f	20
bb8d	22
bb8e	15
bb8b	15
bb8c	15
bb8a	16
bb99	12
bb7e	13
bb7f	22
bb7c	19
bb7d	18
bb7a	17
bb7b	17
bb88	12
bb89	10
bb97	15
3704	14
3705	18
bb98	19
bb95	13
3706	16
3707	13
bb96	13
bb93	13
3708	13
3709	16
bb94	21
bb91	12
bb92	14
bb90	20
3700	17
3701	11
3702	16
3703	12
370d	15
370e	17
370f	14
370a	10
370b	18
370c	14
3715	16
3716	18
3717	14
3718	10
3719	16
3710	17
3711	12
3712	10
3713	14
3714	13
371e	12
371f	14
bb9e	29
bb9f	14
bb9c	16
bb9d	14
bb9a	19
bb9b	8
371a	7
371b	12
371c	14
371d	9
3726	14
3727	15
3728	18
3729	21
3720	12
3721	13
3722	13
3723	14
3724	16
3725	15
372f	16
372a	15
372b	12
372c	10
372d	14
372e	11
3737	17
3738	18
3739	19
3730	18
3731	13
3732	13
3733	12
3734	12
3735	18
3736	15
3750	21
373a	19
373b	20
373c	16
373d	13
373e	18
373f	19
3748	11
3749	17
3740	10
3741	15
3742	23
3743	18
3744	16
3745	17
3746	12
3747	11
6aa0	19
6aa1	13
6aa4	13
6aa5	19
3760	23
6aa2	19
3761	11
6aa3	21
374a	13
374b	10
374c	16
374d	15
374e	13
374f	20
3759	20
3751	17
3752	20
3753	15
3754	26
3755	15
3756	8
3757	17
3758	18
6ab1	13
6ab2	12
6ab0	11
6ab5	21
6ab6	18
3770	10
6ab3	16
3771	14
3772	11
6ab4	20
375a	16
375b	12
375c	15
375d	17
375e	20
375f	14
6aa8	14
3762	10
6aa9	14
3763	17
3764	13
6aa6	12
6aa7	15
3765	11
3766	23
3767	16
3768	20
3769	14
baa0	12
6ac2	18
6ac3	13
baa1	9
6ac0	19
6ac1	9
6ac6	13
3780	12
3781	15
6ac7	13
3782	20
6ac4	21
3783	15
6ac5	10
376b	19
376c	15
6aaf	22
376d	23
376e	21
376f	11
6aaa	12
6aad	20
6aae	16
6aab	13
6aac	21
376a	12
3773	13
6ab9	19
baa8	20
3774	19
baa9	14
6ab7	11
baa6	13
3775	16
3776	9
baa7	19
6ab8	16
baa4	12
3777	11
baa5	14
3778	17
baa2	11
3779	20
baa3	12
6ad3	17
6ad4	17
6ad1	16
6ad2	10
3790	18
3791	18
6ad7	15
3792	18
6ad8	4
6ad5	18
3793	19
3794	15
6ad6	13
377c	19
377d	18
377e	10
377f	14
6ad0	11
6aba	16
6abb	16
6abe	10
6abf	16
377a	16
6abc	15
377b	19
6abd	11
3784	16
3785	18
6ac8	11
3786	12
3787	14
6ac9	14
3788	17
3789	14
bac2	11
6ae4	14
bac3	18
6ae5	8
6ae2	22
bac0	10
bac1	19
6ae3	23
6ae8	11
6ae9	18
6ae6	7
6ae7	13
378d	12
378e	19
378f	14
baaf	8
baad	17
6ae0	17
baae	18
6ae1	33
baab	12
baac	17
baba	10
6acb	14
6acc	19
babb	17
6aca	22
6acf	13
378a	17
378b	18
6acd	13
6ace	19
378c	15
3795	15
3796	14
6ad9	17
bac8	18
3797	11
bac9	13
3798	20
3799	17
bac6	17
bac7	19
bac4	16
bac5	16
6af5	20
bab1	13
6af6	12
bab2	17
6af3	6
6af4	20
bab0	17
6af9	16
6af7	15
6af8	11
379e	16
379f	20
6af1	20
6af2	19
6af0	12
6adc	14
6add	16
baaa	17
6ada	16
6adb	20
379a	17
379b	6
379c	12
6ade	20
6adf	11
379d	10
bab9	11
bab7	16
bab8	22
bab5	17
bab6	12
bab3	9
bab4	14
bae4	20
bae5	8
bae2	12
bae3	21
bae0	12
bae1	9
bacf	13
bacd	17
bace	19
6aed	13
badc	13
badd	15
6aee	14
6aeb	14
bada	12
badb	15
6aec	17
6aef	16
bae8	20
6aea	15
bae9	15
bae6	15
bae7	16
bad3	19
bad4	11
bad1	12
bad2	7
bad0	17
babe	14
babf	16
babc	17
babd	19
6afe	14
bacb	18
bacc	20
6aff	14
6afc	26
6afd	12
baca	21
bad9	12
6afa	22
bad7	22
bad8	19
6afb	23
bad5	13
bad6	15
baef	16
bafe	15
baff	19
bafc	5
bafd	12
bafa	13
bafb	16
baf5	16
baf6	16
baf3	18
baf4	17
baf1	14
baf2	13
baf0	16
bade	11
badf	14
baed	14
baee	13
baeb	14
baec	10
baea	13
baf9	15
baf7	17
baf8	16
36a6	14
36a7	6
36a8	17
36a9	11
36a0	21
36a1	10
36a2	19
36a3	14
36a4	25
36a5	15
36b7	13
36b8	23
36b9	16
6c05	19
36b0	17
6c06	15
36b1	15
6c03	20
36b2	22
6c04	18
36b3	15
6c09	21
36b4	15
6c07	13
36b5	16
6c08	8
36b6	18
6c01	15
6c02	15
6c00	12
36c8	16
36c9	16
6c0a	12
6c0b	25
6c16	13
36c0	17
36c1	19
6c17	13
36c2	18
6c14	15
36c3	17
6c15	18
36c4	17
36c5	15
36c6	12
6c18	13
6c19	11
36c7	16
36af	14
6c12	12
6c13	17
6c10	14
6c11	12
36aa	12
36ab	13
36ac	14
36ad	12
36ae	9
36d9	17
6c1b	21
6c1c	12
6c1a	17
36d1	10
6c27	10
36d2	11
6c28	16
36d3	20
6c25	17
36d4	11
6c26	12
36d5	13
36d6	14
36d7	14
6c29	13
36d8	18
6c20	16
6c23	15
6c24	12
6c21	13
36d0	16
6c22	17
6c0e	12
6c0f	18
36ba	15
6c0c	11
36bb	22
6c0d	18
36bc	13
36bd	15
36be	22
36bf	16
6c2c	11
6c2d	21
6c2a	22
bc18	14
6c2b	14
bc19	16
6c38	10
36e2	12
bc16	15
bc17	24
36e3	19
6c39	19
bc14	19
6c36	13
36e4	16
36e5	9
bc15	19
6c37	14
36e6	13
bc12	17
bc13	12
36e7	10
bc10	18
36e8	14
bc11	17
36e9	14
6c30	5
6c31	16
bc20	17
6c34	17
6c35	19
6c32	18
36e0	15
36e1	16
6c33	16
6c1f	15
bc0e	18
36ca	18
bc0f	20
36cb	11
bc0c	13
6c1d	12
bc0d	11
6c1e	10
36cc	12
bc0a	17
36cd	11
bc0b	10
36ce	14
36cf	20
6c3a	16
bc09	10
6c3d	10
6c3e	18
6c3b	14
bc07	10
36ea	21
6c3c	20
bc08	14
bc05	13
36f3	23
6c49	10
bc06	16
36f4	16
6c47	25
36f5	15
bc03	24
36f6	24
6c48	17
bc04	11
bc01	12
36f7	10
36f8	18
bc02	16
36f9	16
bc00	18
6c41	24
6c42	25
6c40	13
6c45	12
36f0	13
6c46	11
6c43	14
36f1	11
6c44	7
36f2	16
36da	13
36db	19
6c2e	11
36dc	17
6c2f	17
36dd	11
36de	16
36df	14
6c4a	11
6c4b	12
6c4e	19
6c4f	14
6c4c	20
36fa	7
36fb	13
6c4d	11
bc38	6
bc39	10
bc36	14
6c58	12
6c59	17
bc37	18
bc34	16
bc35	13
bc32	13
bc33	20
bc41	18
6c52	14
6c53	14
bc42	14
6c50	10
6c51	16
bc40	17
6c56	15
6c57	11
6c54	13
6c55	9
36eb	15
36ec	15
6c3f	22
bc2e	16
36ed	17
bc2f	19
36ee	15
bc2c	18
36ef	15
bc2d	8
bc2a	13
bc2b	11
6c5b	11
6c5c	15
6c5a	16
6c5f	17
6c5d	21
bc29	15
6c5e	13
bc27	13
bc28	17
bc25	14
6c69	13
bc26	17
bc23	20
bc24	21
bc21	14
bc22	19
6c63	14
bc30	21
bc31	17
6c64	12
6c61	8
6c62	13
6c67	16
6c68	15
6c65	14
6c66	13
bc1f	13
36fc	13
36fd	9
bc1d	12
36fe	14
bc1e	12
36ff	13
bc1b	15
bc1c	23
6c60	11
bc1a	14
6c6c	20
bc4a	11
bc4b	13
6c6d	18
6c6a	9
6c6b	17
6c6e	13
6c6f	9
bc58	16
bc59	17
bc56	14
bc57	21
bc54	14
bc55	18
6c74	20
bc63	16
6c75	17
bc64	19
bc61	18
6c72	8
6c73	21
bc62	16
6c78	11
6c79	10
bc60	9
6c76	14
6c77	15
bc4e	13
6c70	12
bc4f	12
6c71	12
bc4c	20
bc4d	11
6c7d	14
6c7e	17
bc3a	12
6c7b	8
6c7c	14
6c7f	16
bc49	13
bc47	9
bc48	18
bc45	12
6c7a	14
bc46	18
bc43	18
bc44	13
6c85	18
bc52	18
bc53	12
6c86	12
6c83	19
bc50	14
6c84	16
bc51	13
6c89	16
6c87	20
6c88	13
bc3f	20
6c81	20
bc3d	19
6c82	24
bc3e	10
bc3b	20
6c80	13
bc3c	8
bc6c	13
6c8e	17
6c8f	19
bc6d	19
6c8c	23
bc6a	20
bc6b	17
6c8d	19
bc78	19
6c8a	20
6c8b	11
bc79	13
bc76	13
bc77	15
bc85	23
6c96	16
6c97	13
bc86	7
6c94	15
bc83	15
6c95	15
bc84	19
bc81	13
bc82	18
6c98	11
bc80	12
6c99	18
6c92	14
6c93	15
6c90	15
bc6e	14
6c91	23
bc6f	7
bc5b	19
6c9f	11
bc5c	20
6c9d	14
6c9e	17
bc5a	12
bc69	17
bc67	14
6c9b	21
6c9c	16
bc68	17
bc65	12
bc66	13
6c9a	13
bc74	14
bc75	12
bc72	18
bc73	13
bc70	19
bc71	19
bc5f	22
bc5d	16
bc5e	13
bc8e	12
bc8f	20
bc8c	23
bc8d	17
bc8a	18
bc8b	12
bc98	13
bc99	13
bc7d	10
bc7e	14
bc7b	16
bc7c	11
bc7a	14
bc89	14
bc87	16
bc88	19
3803	10
bc96	16
bc97	10
3804	5
3805	18
bc94	24
3806	15
bc95	17
bc92	17
3807	17
3808	19
bc93	24
3809	22
bc90	16
bc91	18
3800	14
bc7f	14
3801	16
3802	11
380c	11
380d	11
380e	19
380f	18
380a	21
380b	14
3814	17
3815	16
3816	16
3817	13
3818	13
3819	12
3810	22
3811	23
3812	13
3813	15
bc9f	20
381d	15
381e	11
381f	14
bc9d	13
bc9e	15
bc9b	13
bc9c	18
bc9a	16
381a	16
381b	20
381c	17
3825	17
3826	17
3827	22
3828	9
3829	15
3820	14
3821	20
3822	19
3823	18
3824	15
382e	18
382f	15
382a	10
382b	5
382c	13
382d	20
3836	23
3837	10
3838	11
3839	17
3830	23
3831	14
3832	17
3833	19
3834	12
3835	12
383f	16
383a	14
383b	21
383c	17
383d	18
383e	15
3847	10
3848	12
3849	12
3840	11
3841	18
3842	12
3843	17
3844	11
3845	11
3846	10
6ba0	18
6ba3	17
6ba4	8
6ba1	12
3860	21
6ba2	14
384a	11
384b	18
384c	17
384d	13
384e	6
384f	8
3858	13
3859	15
3850	15
3851	17
3852	18
3853	24
3854	23
3855	15
3856	17
3857	15
6bb0	17
6bb1	14
6bb4	15
6bb5	16
3870	9
6bb2	15
3871	14
6bb3	14
385a	10
385b	14
385c	17
385d	10
385e	10
385f	20
3869	17
3861	18
6ba7	10
3862	13
6ba8	15
6ba5	12
3863	14
3864	17
6ba6	10
3865	21
3866	13
3867	12
6ba9	18
3868	21
6bc1	20
bba0	11
6bc2	13
6bc0	16
6bc5	15
6bc6	14
3880	19
3881	12
6bc3	12
6bc4	12
3882	17
386a	16
386b	22
386c	13
6bae	21
6baf	11
386d	14
386e	22
386f	12
6bac	19
6bad	14
6baa	9
bba9	9
6bab	15
3872	14
6bb8	11
bba7	9
bba8	9
6bb9	18
3873	21
3874	11
6bb6	10
bba5	17
6bb7	20
3875	20
bba6	16
3876	14
bba3	9
3877	17
bba4	9
bba1	15
3878	16
bba2	12
3879	12
6bd2	14
6bd3	16
6bd0	13
6bd1	11
3890	12
6bd6	13
6bd7	13
3891	16
6bd4	17
3892	14
3893	11
6bd5	15
387b	13
387c	9
387d	16
6bbf	15
387e	16
387f	16
6bba	13
6bbd	21
6bbe	9
6bbb	16
387a	13
6bbc	17
3883	18
6bc9	15
3884	22
6bc7	14
3885	20
6bc8	14
3886	18
3887	16
3888	13
3889	15
6be3	12
bbc1	16
bbc2	16
6be4	18
6be1	13
6be2	11
bbc0	17
6be7	20
6be8	16
6be5	7
6be6	9
388c	12
388d	19
388e	20
bbae	22
388f	23
bbaf	16
bbac	16
6be0	18
bbad	11
bbaa	14
bbab	13
6bca	11
bbba	15
6bcb	10
6bce	17
6bcf	14
6bcc	22
388a	12
6bcd	15
388b	18
3894	14
bbc9	12
3895	20
6bd8	13
bbc7	13
3896	12
6bd9	11
3897	21
bbc8	11
bbc5	13
3898	20
bbc6	14
3899	16
bbc3	11
bbc4	15
6bf4	11
bbb0	15
6bf5	17
bbb1	22
6bf2	24
6bf3	13
6bf8	18
6bf9	19
6bf6	14
6bf7	14
389d	17
389e	19
389f	10
6bf0	15
6bf1	16
6bdb	25
6bdc	12
6bda	13
6bdf	14
389a	13
389b	18
6bdd	15
389c	20
6bde	15
bbb8	14
bbb9	14
bbb6	20
6be9	23
bbb7	23
bbb4	16
bbb5	12
bbb2	9
bbb3	16
bbe3	15
bbe4	18
bbe1	34
bbe2	12
bbe0	21
bbce	15
bbcf	16
bbcc	18
bbcd	14
bbdb	13
6bec	12
6bed	15
bbdc	16
6bea	22
bbda	19
6beb	16
6bee	13
6bef	16
bbe9	15
bbe7	9
bbe8	15
bbe5	17
bbe6	14
bbd2	13
bbd3	13
bbd0	22
bbd1	23
bbbf	16
bbbd	14
bbbe	12
bbbb	13
bbbc	10
bbca	16
6bfd	15
bbcb	16
6bfe	12
6bfb	14
6bfc	20
6bff	15
bbd8	14
bbd9	17
bbd6	15
6bfa	14
bbd7	16
bbd4	20
bbd5	15
bbee	17
bbef	21
bbfd	20
bbfe	13
bbfb	16
bbfc	14
bbfa	14
bbf4	18
bbf5	11
bbf2	6
bbf3	14
bbf0	19
bbf1	16
bbdf	15
bbdd	14
bbde	12
bbec	12
bbed	16
bbea	9
bbeb	18
bbf8	16
bbf9	8
bbf6	13
bbf7	12
bbff	15
37a5	11
37a6	12
37a7	18
37a8	12
37a9	16
37a0	21
37a1	12
37a2	14
37a3	10
37a4	20
37b6	21
37b7	9
37b8	14
37b9	20
6d04	19
6d05	13
6d02	19
37b0	16
37b1	17
6d03	11
6d08	23
37b2	16
37b3	13
6d09	12
6d06	11
37b4	10
37b5	13
6d07	21
6d00	17
6d01	13
37c7	14
37c8	15
37c9	13
6d0a	15
6d15	10
6d16	9
37c0	14
6d13	11
37c1	19
37c2	22
6d14	12
6d19	13
37c3	14
37c4	15
37c5	11
6d17	16
37c6	16
6d18	19
37ae	11
37af	13
6d11	17
6d12	15
6d10	14
37aa	21
37ab	26
37ac	20
37ad	16
37d8	12
37d9	12
6d1a	22
6d1b	20
6d26	16
37d0	19
6d27	17
37d1	14
6d24	12
37d2	9
37d3	17
6d25	19
37d4	18
37d5	21
6d28	21
37d6	16
6d29	17
37d7	13
37bf	18
6d22	16
6d23	9
6d20	10
6d21	17
6d0d	18
6d0e	15
6d0b	12
6d0c	16
37ba	13
37bb	16
37bc	18
37bd	20
6d0f	9
37be	12
37e9	9
bd19	11
6d2b	21
6d2c	15
bd17	17
bd18	13
6d2a	18
6d37	15
bd15	23
37e1	13
37e2	16
bd16	16
6d38	14
bd13	18
37e3	19
6d35	13
6d36	15
bd14	19
37e4	16
bd11	9
37e5	13
bd12	14
37e6	16
6d39	20
37e7	20
bd10	15
37e8	17
6d30	14
6d33	11
6d34	10
6d31	17
bd0f	16
6d32	15
37e0	19
bd0d	13
6d1e	20
6d1f	11
bd0e	12
37ca	19
6d1c	11
bd0b	6
37cb	15
bd0c	12
6d1d	13
37cc	14
bd0a	11
37cd	18
37ce	11
37cf	19
bd08	16
6d3c	12
bd09	16
6d3d	12
6d3a	14
bd06	15
6d3b	17
bd07	17
6d48	18
37f2	17
bd04	12
37f3	15
6d49	18
bd05	12
6d46	6
bd02	13
37f4	14
6d47	15
37f5	17
bd03	12
bd00	15
37f6	22
37f7	11
bd01	17
37f8	16
37f9	10
6d40	18
6d41	12
6d44	14
6d45	11
6d42	12
37f0	12
37f1	20
6d43	12
6d2f	19
37da	9
37db	16
6d2d	12
6d2e	8
37dc	25
37dd	16
37de	14
37df	26
6d4a	13
6d4d	21
6d4e	21
bd39	10
6d4b	9
37fa	19
6d4c	14
bd37	18
6d59	16
bd38	13
6d57	18
bd35	15
6d58	10
bd36	17
bd33	17
bd34	18
bd31	16
bd32	8
6d51	15
bd40	13
bd41	11
6d52	15
6d50	18
6d55	12
6d56	12
6d53	13
6d54	14
bd2f	9
37ea	16
37eb	17
6d3e	18
bd2d	13
37ec	17
37ed	14
6d3f	14
bd2e	17
37ee	17
bd2b	19
37ef	19
bd2c	18
bd2a	16
6d5a	17
6d5b	13
6d5e	15
6d5f	14
6d5c	21
bd28	13
bd29	12
6d5d	15
bd26	15
bd27	14
6d68	14
bd24	14
6d69	15
bd25	10
bd22	16
bd23	17
bd20	19
bd21	16
6d62	19
6d63	22
bd30	19
6d60	15
6d61	13
6d66	15
6d67	16
6d64	16
6d65	16
37fb	13
bd1e	17
37fc	15
bd1f	25
37fd	10
6d4f	12
bd1c	15
37fe	14
bd1d	9
37ff	14
bd1a	6
bd1b	12
6d6b	7
6d6c	14
bd4a	14
6d6a	20
6d6f	11
6d6d	21
6d6e	12
bd59	6
bd57	18
6d79	18
bd58	23
bd55	11
bd56	20
bd53	15
bd54	28
6d73	16
bd62	20
6d74	11
bd63	12
bd60	15
6d71	18
bd61	16
6d72	8
6d77	10
6d78	9
6d75	11
6d76	22
bd4f	14
bd4d	24
6d70	15
bd4e	13
bd4b	21
bd4c	15
6d7c	11
6d7d	17
6d7a	18
6d7b	10
6d7e	20
6d7f	19
bd48	16
bd49	15
bd46	14
bd47	12
bd44	12
bd45	12
bd42	15
bd43	12
bd51	11
6d84	14
bd52	14
6d85	13
6d82	13
6d83	13
bd50	16
6d88	9
6d89	13
6d86	12
6d87	21
bd3e	20
bd3f	20
6d80	13
bd3c	13
6d81	15
bd3d	8
bd3a	22
bd3b	15
6d8d	13
bd6b	11
6d8e	22
bd6c	17
6d8b	15
bd6a	19
6d8c	18
6d8f	16
bd79	17
bd77	10
bd78	18
6d8a	17
bd75	11
bd76	9
bd84	17
6d95	16
6d96	17
bd85	16
bd82	12
6d93	6
bd83	15
6d94	12
bd80	15
6d99	15
bd81	9
6d97	12
6d98	16
6d91	22
bd6f	12
6d92	13
bd6d	7
6d90	17
bd6e	11
6d9e	10
bd5a	23
bd5b	16
6d9f	19
6d9c	11
6d9d	19
bd68	15
bd69	16
bd66	14
6d9a	15
6d9b	15
bd67	12
bd64	11
bd65	20
bd73	18
bd74	12
bd71	12
bd72	21
bd70	9
bd5e	17
bd5f	20
bd5c	20
bd5d	15
bd8d	15
bd8e	17
bd8b	15
bd8c	11
bd8a	10
bd99	12
bd97	15
bd98	21
bd8f	14
bd7c	16
bd7d	11
bd7a	22
bd7b	12
bd88	16
bd89	15
bd86	16
bd87	17
3902	15
bd95	21
3903	10
bd96	13
3904	17
bd93	19
bd94	13
3905	13
bd91	8
3906	11
3907	12
bd92	12
3908	13
3909	25
bd90	8
bd7e	11
3900	10
bd7f	20
3901	15
390b	14
390c	11
390d	13
390e	9
390f	9
390a	15
3913	14
3914	15
3915	21
3916	12
3917	17
3918	9
3919	13
3910	15
3911	10
3912	26
bd9e	21
391c	11
391d	12
bd9f	15
bd9c	13
391e	15
391f	16
bd9d	14
bd9a	10
bd9b	22
391a	19
391b	20
3924	11
3925	12
3926	12
3927	15
3928	14
3929	17
3920	10
3921	14
3922	14
3923	20
392d	12
392e	11
392f	10
392a	14
392b	24
392c	15
3935	14
3936	20
3937	20
3938	12
3939	20
3930	13
3931	16
3932	15
3933	18
3934	13
393e	17
393f	21
393a	10
393b	14
393c	16
393d	15
3946	25
3947	17
3948	14
3949	15
3940	10
3941	16
3942	12
3943	17
3944	21
3945	17
394f	18
6ca2	18
6ca3	7
6ca0	13
6ca1	18
394a	17
394b	18
394c	19
394d	8
394e	19
3957	16
3958	21
3959	15
3950	9
3951	16
3952	16
3953	11
3954	16
3955	16
3956	27
6cb0	8
6cb3	20
6cb4	25
6cb1	15
6cb2	17
3970	18
395a	15
395b	12
395c	17
395d	13
395e	10
395f	19
3968	8
3969	12
6ca6	17
3960	15
3961	17
6ca7	9
3962	12
6ca4	12
3963	19
6ca5	7
3964	16
3965	18
6ca8	17
3966	19
3967	18
6ca9	12
6cc0	14
6cc1	16
6cc4	15
6cc5	20
6cc2	10
3980	19
3981	16
6cc3	14
6caf	11
396a	18
396b	20
6cad	20
396c	12
6cae	15
396d	10
396e	13
396f	18
3979	16
6cab	14
6cac	21
bca8	15
bca9	19
6caa	21
bca6	18
3971	14
6cb7	11
bca7	22
6cb8	13
3972	18
bca4	9
3973	13
6cb5	14
6cb6	16
3974	12
bca5	14
3975	9
bca2	17
bca3	11
3976	17
6cb9	14
3977	12
bca0	14
bca1	15
3978	12
6cd1	17
6cd2	22
6cd0	16
6cd5	23
3990	14
6cd6	9
6cd3	20
3991	15
6cd4	15
3992	21
397a	14
397b	13
397c	15
6cbe	13
6cbf	19
397d	11
397e	16
397f	17
6cbc	16
6cbd	12
6cba	25
6cbb	22
6cc8	16
3982	12
3983	13
6cc9	12
6cc6	16
3984	11
3985	19
6cc7	12
3986	20
3987	17
3988	11
3989	18
6ce2	12
bcc0	11
6ce3	9
bcc1	17
6ce0	12
6ce1	18
6ce6	17
6ce7	19
6ce4	13
6ce5	18
398b	14
bcaf	15
398c	10
398d	15
6ccf	16
bcad	12
398e	19
bcae	9
398f	11
bcab	19
bcac	17
bcaa	14
6cca	19
6ccd	21
6cce	20
6ccb	13
6ccc	10
398a	16
bcc8	20
6cd9	20
3993	20
3994	20
bcc9	18
bcc6	20
6cd7	14
3995	17
3996	19
6cd8	12
bcc7	16
bcc4	21
3997	13
3998	15
bcc5	16
bcc2	15
3999	20
bcc3	20
6cf3	11
6cf4	20
bcb0	16
6cf1	14
6cf2	11
6cf7	22
6cf8	12
6cf5	16
6cf6	12
399c	16
399d	15
399e	13
399f	9
6cf0	13
6cda	17
6cdb	14
